"OverallQual","YearBuilt","TotalBsmtSF","X1stFlrSF","GrLivArea","TotRmsAbvGrd","GarageYrBlt","GarageCars","GarageArea","SalePrice"
5,1961,882,6.7990558620588,6.7990558620588,5,1961,1,730,NA
6,1958,1329,7.1929342212158,7.1929342212158,6,1958,1,312,NA
5,1997,928,6.83410873881384,7.39633529380081,6,1997,2,482,NA
6,1998,926,6.83195356556585,7.38087903556412,7,1998,2,470,NA
8,1992,1280,7.15539630189673,7.15539630189673,5,1992,2,506,NA
6,1993,763,6.63856778916652,7.4121603349452,7,1993,2,440,NA
6,1992,1168,7.08002649992259,7.08002649992259,6,1992,2,420,NA
6,1998,789,6.67203294546107,7.2902928824466,7,1998,2,393,NA
7,1990,1300,7.20191631753163,7.20191631753163,5,1990,2,506,NA
4,1970,882,6.78332520060396,6.78332520060396,4,1970,2,525,NA
7,1999,1405,7.19893124068817,7.19893124068817,5,1999,2,511,NA
6,1971,483,6.18208490671663,6.89568269774787,5,1971,1,264,NA
5,1971,525,6.26530121273771,6.99668148817654,6,1997,1,320,NA
6,1975,855,6.75227037614174,7.2841348061952,6,1975,2,440,NA
7,1975,836,6.72982407048948,6.72982407048948,4,1975,1,308,NA
9,2009,1590,7.39510754656249,7.755767170103,10,2009,3,751,NA
8,2009,1544,7.34277918933185,7.34277918933185,7,2009,3,868,NA
9,2005,1698,7.43779512167193,7.43779512167193,7,2005,3,730,NA
8,2005,1822,7.50823877467866,7.50823877467866,8,2005,3,678,NA
9,2003,2846,7.89989532313973,7.89989532313973,10,2003,3,958,NA
8,2002,1671,7.4312996751559,7.71912984090673,7,2002,3,756,NA
8,2006,1370,7.22329567956231,7.22329567956231,6,2006,2,484,NA
6,2005,1324,7.18916773842032,7.18916773842032,6,2005,2,430,NA
7,2006,1145,7.04403289727469,7.04403289727469,6,2006,2,437,NA
7,2004,384,6.61338421837956,7.22620901010067,7,2004,2,400,NA
7,2004,847,6.7428806357919,7.45818615734049,7,2004,2,433,NA
8,1998,1629,7.40610338123702,7.81439963380449,7,1998,3,962,NA
8,2005,1595,7.37525577800975,7.37525577800975,6,2005,3,880,NA
7,2009,1218,7.10578612948127,7.10578612948127,4,2009,2,676,NA
6,2005,1468,7.29233717617388,7.29233717617388,6,2005,2,528,NA
7,2004,831,6.72383244082121,7.41457288135059,8,2004,2,484,NA
5,1920,816,6.92067150424868,6.92067150424868,5,1920,1,429,NA
6,1974,1208,7.30988148582479,7.30988148582479,7,1974,2,461,NA
8,1993,1231,7.13249755166004,7.7621706071382,9,1993,3,762,NA
8,1992,1390,7.24636808010246,7.70796153183549,7,1992,3,713,NA
7,2004,1488,7.30586003268401,7.30586003268401,6,2004,2,506,NA
7,2004,840,6.73459165997295,7.42714413340862,3,2004,2,588,NA
7,2004,600,6.39859493453521,7.09090982207998,4,2004,2,480,NA
