"OverallQual","YearBuilt","TotalBsmtSF","X1stFlrSF","GrLivArea","TotRmsAbvGrd","GarageYrBlt","GarageCars","GarageArea","SalePrice"
7,2003,856,6.75343791859778,7.44483327389219,8,2003,2,548,12.2476991163726
6,1976,1262,7.14124512235049,7.14124512235049,6,1976,2,460,12.1090164423137
7,2001,920,6.82546003625531,7.48829351515943,6,2001,2,608,12.3171711672987
7,1915,756,6.86901445066571,7.4489161025442,7,1998,3,642,11.8494048444231
8,2000,1145,7.04403289727469,7.69575799055476,9,2000,3,836,12.4292201968364
5,1993,796,6.68085467879022,7.21744343169653,5,1993,2,480,11.8706069022246
8,2004,1686,7.43543801981455,7.43543801981455,7,2004,2,636,12.634606283893
7,1973,1107,7.01031186730723,7.64539769942863,7,1973,2,484,12.2060776455177
7,1931,952,6.93049476595163,7.48155570190952,8,1931,2,468,11.7745279008585
5,1939,991,6.98286275146894,6.98286275146894,5,1939,1,205,11.6784483779882
5,1965,1040,6.94793706861497,6.94793706861497,5,1965,1,384,11.7714438820996
9,2005,1175,7.07580886397839,7.75147531802146,11,2005,3,736,12.75130259456
5,1962,912,6.81673588059497,6.81673588059497,4,1962,1,352,11.8775755229785
7,2006,1494,7.30988148582479,7.30988148582479,7,2006,3,840,12.5407611493884
6,1960,1253,7.13409372119287,7.13409372119287,5,1960,1,352,11.9640074537369
7,1929,832,6.75110146893676,6.75110146893676,5,1991,2,576,11.7905647772974
6,1970,1004,6.91274282049318,6.91274282049318,5,1970,2,480,11.9117082963145
4,1967,0,7.16780918431644,7.16780918431644,6,1967,2,516,11.4075760603618
5,2004,1114,7.01660968389422,7.01660968389422,6,2004,2,576,11.9766657704908
5,1958,1029,7.20042489294496,7.20042489294496,6,1958,1,294,11.8422364063316
8,2005,1158,7.05531284333975,7.77359446736019,9,2005,3,853,12.6925061865422
7,1930,637,7.01121398735037,7.01121398735037,6,1930,1,280,11.845109950884
8,2002,1777,7.49331724886215,7.49331724886215,7,2002,2,534,12.345838935722
5,1976,1040,6.96696713861398,6.96696713861398,6,1976,2,572,11.7745279008585
5,1968,1060,6.96696713861398,6.96696713861398,6,1968,1,270,11.9447143748812
8,2007,1566,7.37838371299671,7.37838371299671,7,2007,3,890,12.4541078140223
5,1951,900,6.80350525760834,6.80350525760834,5,2005,2,576,11.8115548958305
8,2007,1704,7.44132038971762,7.44132038971762,7,2008,3,772,12.631343648903
5,1957,1484,7.37838371299671,7.37838371299671,6,1957,1,319,12.2428914379184
4,1927,520,6.25575004175337,6.25575004175337,4,1920,1,240,11.1346036226839
4,1920,649,6.47697236288968,7.18387071506245,6,1920,1,250,10.5966597327836
5,1966,1228,7.11395610956603,7.11395610956603,6,1966,1,271,11.9140545193031
8,2007,1234,7.11882624906208,7.11882624906208,7,2007,2,484,12.1001619785669
5,1959,1398,7.43897159239586,7.43897159239586,6,1959,2,447,12.0167325160771
9,2005,1561,7.35372233039963,7.35372233039963,6,2005,2,556,12.5335798157657
8,2004,1117,7.03262426102801,7.80506704425849,9,2004,3,691,12.6410997921206
5,1994,1097,7.00124562206948,7.00124562206948,6,1995,2,672,11.8844959179307
5,1954,1297,7.16857989726403,7.16857989726403,5,1954,2,498,11.9381997363009
5,1953,1057,6.96413561241824,6.96413561241824,5,1953,1,246,11.5991123354811
4,1955,0,7.05012252026906,7.05012252026906,6,0,0,0,11.314486721294
6,1965,1088,7.18916773842032,7.18916773842032,6,1965,2,440,11.9829353441964
5,1959,1350,7.19218205871325,7.19218205871325,5,1959,1,308,12.043559598368
5,1983,840,6.78558764500793,6.78558764500793,5,1983,2,504,11.8775755229785
5,1975,938,6.84481547920826,6.84481547920826,5,1977,1,308,11.7772186371293
5,1959,1150,7.04838640872188,7.04838640872188,6,1959,1,300,11.8565222615337
9,2005,1752,7.46908388492123,7.46908388492123,6,2005,2,576,12.6757668519096
7,2003,1434,7.32580750259577,7.67322312112171,6,2003,2,670,12.387089184492
8,2006,1656,7.41276401742656,7.41276401742656,7,2006,3,826,12.4280194810656
4,1920,736,6.60258789218934,7.28138566357028,8,0,0,0,11.6351519472128
5,1966,955,6.8627579130514,6.8627579130514,6,1966,1,386,11.7519502394255
6,1997,794,6.67834211465433,7.29369772060144,6,1997,2,388,12.0839106612575
6,1934,816,6.70563909486,7.07072410726028,6,1985,2,528,11.6483388355627
5,1963,816,6.70563909486,6.70563909486,5,1963,2,516,11.6082447356423
9,1981,1842,7.51914995766982,7.51914995766982,5,1981,3,894,12.8610012106691
5,1955,384,7.21597500265147,7.21597500265147,6,1962,2,572,11.7752974217158
6,1964,1425,7.26262860097424,7.26262860097424,7,1964,2,576,12.1034915969059
8,1999,970,6.89162589705225,7.46164039220858,7,1999,2,480,12.0581583125382
7,2004,860,6.75809450442773,7.45066079621154,7,2004,2,565,12.188422799337
10,2006,1410,7.26332961747684,7.98820359702258,10,2006,3,641,12.9917557065369
5,1972,780,6.66057514983969,6.66057514983969,4,1973,1,352,11.7352767024867
6,2004,1158,7.05531284333975,7.05531284333975,5,2006,2,576,11.970356641103
5,1920,530,6.36647044773144,7.01391547481053,6,1935,1,288,11.5228856967645
8,2006,1370,7.22329567956231,7.22329567956231,6,2006,2,484,12.2185001037881
7,1921,576,6.80572255341699,7.44483327389219,9,1990,2,480,11.8494048444231
7,1997,1057,6.96413561241824,7.6182510978767,8,1998,2,645,12.2991120672956
